"module name","license","repository"
"@babel/code-frame@7.14.5","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.15.7","MIT","https://github.com/babel/babel"
"@babel/highlight@7.14.5","MIT","https://github.com/babel/babel"
"@babel/runtime-corejs3@7.15.4","MIT","https://github.com/babel/babel"
"@babel/runtime@7.15.4","MIT","https://github.com/babel/babel"
"@emotion/is-prop-valid@0.7.3","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.1","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@jest/types@26.6.2","MIT","https://github.com/facebook/jest"
"@monaco-editor/loader@1.1.1","MIT","https://github.com/suren-atoyan/monaco-loader"
"@monaco-editor/react@4.2.2","MIT","https://github.com/suren-atoyan/monaco-react"
"@testing-library/dom@7.31.2","MIT","https://github.com/testing-library/dom-testing-library"
"@testing-library/jest-dom@5.14.1","MIT","https://github.com/testing-library/jest-dom"
"@testing-library/react@11.2.7","MIT","https://github.com/testing-library/react-testing-library"
"@testing-library/user-event@12.8.3","MIT","https://github.com/testing-library/user-event"
"@types/aria-query@4.2.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-proxy@1.17.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports@3.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jest@26.0.24","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@12.20.26","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-dom@17.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@17.0.24","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/scheduler@0.16.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/testing-library__jest-dom@5.14.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs-parser@20.2.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yargs@15.0.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@virtuoso.dev/react-urx@0.2.7","MIT",""
"@virtuoso.dev/urx@0.2.7","MIT",""
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"aria-query@4.2.2","Apache-2.0","https://github.com/A11yance/aria-query"
"atob@2.1.2","(MIT OR Apache-2.0)","git://git.coolaj86.com/coolaj86/atob.js"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@3.0.0","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"classnames@2.3.1","MIT","https://github.com/JedWatson/classnames"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"core-js-pure@3.18.0","MIT","https://github.com/zloirock/core-js"
"css-jss@10.8.0","MIT","https://github.com/cssinjs/jss"
"css-vendor@2.0.8","MIT","https://github.com/cssinjs/css-vendor"
"css.escape@1.5.1","MIT","https://github.com/mathiasbynens/CSS.escape"
"css@3.0.0","MIT","https://github.com/reworkcss/css"
"csstype@3.0.9","MIT","https://github.com/frenic/csstype"
"decode-uri-component@0.2.0","MIT","https://github.com/SamVerschueren/decode-uri-component"
"diff-sequences@26.6.2","MIT","https://github.com/facebook/jest"
"dom-accessibility-api@0.5.7","MIT","https://github.com/eps1lon/dom-accessibility-api"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eventemitter3@4.0.7","MIT","https://github.com/primus/eventemitter3"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range"
"follow-redirects@1.14.4","MIT","https://github.com/follow-redirects/follow-redirects"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
"http-proxy-middleware@2.0.1","MIT","https://github.com/chimurai/http-proxy-middleware"
"http-proxy@1.18.1","MIT","https://github.com/http-party/node-http-proxy"
"hyphenate-style-name@1.0.4","BSD-3-Clause","https://github.com/rexxars/hyphenate-style-name"
"indent-string@4.0.0","MIT","https://github.com/sindresorhus/indent-string"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-glob@4.0.1","MIT","https://github.com/micromatch/is-glob"
"is-in-browser@1.1.3","MIT","https://github.com/tuxsudo/is-in-browser"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"is-plain-obj@3.0.0","MIT","https://github.com/sindresorhus/is-plain-obj"
"jest-diff@26.6.2","MIT","https://github.com/facebook/jest"
"jest-get-type@26.3.0","MIT","https://github.com/facebook/jest"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"jss-plugin-camel-case@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-compose@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-default-unit@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-expand@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-extend@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-global@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-nested@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-props-sort@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-rule-value-function@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-rule-value-observable@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-template@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-plugin-vendor-prefixer@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss-preset-default@10.8.0","MIT","https://github.com/cssinjs/jss"
"jss@10.8.0","MIT","https://github.com/cssinjs/jss"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lz-string@1.4.4","WTFPL","https://github.com/pieroxy/lz-string"
"micromatch@4.0.4","MIT","https://github.com/micromatch/micromatch"
"min-indent@1.0.1","MIT","https://github.com/thejameskyle/min-indent"
"mobx-react-lite@3.2.1","MIT","https://github.com/mobxjs/mobx"
"mobx@6.3.3","MIT","https://github.com/mobxjs/mobx"
"monaco-editor@0.25.2","MIT","https://github.com/Microsoft/monaco-editor"
"nanoid@3.1.25","MIT","https://github.com/ai/nanoid"
"normalize.css@8.0.1","MIT","https://github.com/necolas/normalize.css"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"picomatch@2.3.0","MIT","https://github.com/micromatch/picomatch"
"pretty-format@26.6.2","MIT","https://github.com/facebook/jest"
"prop-types@15.7.2","MIT","https://github.com/facebook/prop-types"
"react-display-name@0.2.5","MIT","https://github.com/jurassix/react-display-name"
"react-dom@17.0.2","MIT","https://github.com/facebook/react"
"react-error-boundary@3.1.3","MIT","https://github.com/bvaughn/react-error-boundary"
"react-hook-form@7.15.4","MIT","https://github.com/react-hook-form/react-hook-form"
"react-is@16.13.1","MIT","https://github.com/facebook/react"
"react-is@17.0.2","MIT","https://github.com/facebook/react"
"react-jss@10.8.0","MIT","https://github.com/cssinjs/jss"
"react-virtuoso@1.11.1","MIT","https://github.com/petyosi/react-virtuoso"
"react@17.0.2","MIT","https://github.com/facebook/react"
"redent@3.0.0","MIT","https://github.com/sindresorhus/redent"
"regenerator-runtime@0.13.9","MIT","https://github.com/facebook/regenerator/tree/master/packages/runtime"
"requires-port@1.0.0","MIT","https://github.com/unshiftio/requires-port"
"resize-observer-polyfill@1.5.1","MIT","https://github.com/que-etc/resize-observer-polyfill"
"scheduler@0.20.2","MIT","https://github.com/facebook/react"
"shallow-equal@1.2.1","MIT","https://github.com/moroshko/shallow-equal"
"source-map-resolve@0.6.0","MIT","https://github.com/lydell/source-map-resolve"
"source-map@0.6.1","BSD-3-Clause","https://github.com/mozilla/source-map"
"state-local@1.0.7","MIT","https://github.com/suren-atoyan/state-local"
"strip-indent@3.0.0","MIT","https://github.com/sindresorhus/strip-indent"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"symbol-observable@1.2.0","MIT","https://github.com/blesh/symbol-observable"
"th2-infra-editor@2.0.5","UNLICENSED",""
"theming@3.3.0","MIT","https://github.com/cssinjs/theming"
"tiny-warning@1.0.3","MIT","https://github.com/alexreardon/tiny-warning"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"typescript@4.4.3","Apache-2.0","https://github.com/Microsoft/TypeScript"
"use-debounce@6.0.1","MIT","https://github.com/xnimorz/use-debounce"
"web-vitals@1.1.2","Apache-2.0","https://github.com/GoogleChrome/web-vitals"